{{Atajo|WP:Lista}}
En esta lista se detallan los términos que el [[Wikipedia:Corrector ortográfico|corrector ortográfico]] detecta como erróneos.
* Sintaxis: término erróneo|parámetro|término sugerido
* El único parámetro disponible es: ''cs'' sensible a letras mayúsculas y minúsculas (''case sensitive'').
* La lista es muy ampliable con términos que se suelen escribir mal de manera consciente o inconsciente:
** Ejemplo de error consciente sería escribir ''excluído'' (con acento gráfico) en lugar de ''excluido''.
** Ejemplo de error inconsciente sería ''qeu'' en lugar de ''que''. De estos últimos solo se recomienda indicar los casos más frecuentes.
* Nota: solo admite un término, es decir, ningún espacio, ej. ''a basto||abasto'' no funcionará.
* Tampoco se admiten otros caracteres al margen de las letras del alfabeto español con o sin acento gráfico o diéresis, ejemplos de casos que no se detectarán son ".", "-", "2" o "'".
* Se deben poner las palabras incorrectas en todas las formas posibles: masculino, femenino y sus plurales. Por ejemplo: *basco, *basca, *bascos, *bascas, por vasco, vasca, vascos, vascas.
* En los errores de ortografía del tipo b/v, si la palabra lleva tilde, es necesario poner todas las formas. Por ejemplo: *abion, *abión en lugar de avión.
* El formato de este listado se basa en un [[:de:Wikipedia:Helferlein/Rechtschreibprüfung/Wortliste|listado similar de la Wiki alemana]].

{{Índice}}

== A ==
 aarón|cs|Aarón
 abaco||ábaco (herramienta, Islas Ábaco)
 abacos||ábacos
 abadia||abadía
 abadias||abadías
 abadonar||abandonar
 abadonó||abandonó
 abalancha||avalancha
 abalanchas||avalanchas
 abandonarón||abandonaron
 abandoranon||abandonaron
 abánico||abanico
 abánicos||abanicos
 abducció||abdujo
 abduccion||abducción
 abdució||abdujo
 abducio||abdujo
 abducieron||abdujeron
 abece||abecé
 aber||a ver, haber, aber («pero» en alemán)
 aberracion||aberración
 abietacea||abietácea
 abietaceas||abietáceas
 abietaceo||abietáceo
 abietaceos||abietáceos
 abion||avión
 abión||avión (aeronave), Abión (localidad y río de Soria), Avión (río de Palencia o localidad de Orense)
 abiotica||abiótica
 abioticas||abióticas
 abiotico||abiótico
 abioticos||abióticos
 abísales||abisales (adjetivo), avísales (verbo)
 abitual||habitual
 abituales||habituales
 abitualmente||habitualmente
 abjaza||abjasia
 abjazas||abjasias
 abjazo||abjasio
 abjazos||abjasios
 ablucion||ablución
 abnegacion||abnegación
 abogacia||abogacía
 abogacias||abogacías
 abordo||a bordo (locución adverbial), abordaje (sustantivo), abordo (verbo, 1.ª persona), abordó (verbo, 3.ª persona)
 aborígen||aborigen
 aborigenes||aborígenes
 abosorbida||absorbida
 abosorbidas||absorbidas
 abosorbido||absorbido
 abosorbidos||absorbidos
 abrebiada||abreviada
 abrebiadas||abreviadas
 abrebiado||abreviado
 abrebiados||abreviados
 abrebiar||abreviar
 abrebiarla||abreviarla
 abrebiarlas||abreviarlas
 abrebiarle||abreviarle
 abrebiarles||abreviarles
 abrebiarlo||abreviarlo
 abrebiarlos||abreviarlos
 abrebiatura||abreviatura
 abrebiaturas||abreviaturas
 abrefacil||abrefácil
 Abril|cs|abril
 abrio||abrió
 abrío||abrió
